Name,Details,Notes,Shared,Shared Comments,Domain,Tags
Chief Data Office,,,,,,MDSOL Department
Corporate Development,,,,,,MDSOL Department
Corporate IT,,,,,,MDSOL Department
Customer Care,,,,,,MDSOL Department
Data Operations,,,,,,MDSOL Department
Engineering,,,,,,MDSOL Department
Executive Management,,,,,,MDSOL Department
Facilities & Corporate Services,,,,,,MDSOL Department
Finance,,,,,,MDSOL Department
Hosting,,,,,,MDSOL Department
Hosting Development Ops,,,,,,MDSOL Department
Human Resources,,,,,,MDSOL Department
Knowledge Management,,,,,,MDSOL Department
Legal,,,,,,MDSOL Department
Marketing,,,,,,MDSOL Department
Product Management,,,,,,MDSOL Department
Professional Services,,,,,,MDSOL Department
Professional Services A2W,,,,,,MDSOL Department
Quality & Reg Affairs,,,,,,MDSOL Department
R&D : Production Support,,,,,,MDSOL Department
R&D : R&D Management,,,,,,MDSOL Department
Sales,,,,,,MDSOL Department
Sales A2W,,,,,,MDSOL Department
Solutions Architecture,,,,,,MDSOL Department
SQA,,,,,,MDSOL Department
Support Services,,,,,,MDSOL Department
